School District Name,Incident Years,Website,Address,Address : Street 1,Address : Street 2,Address : City,Address : State,Address : Zip,Address : Latitude,Address : Longitude,State,Count,Locale Code,Community Type,NCES District ID,Total Students,Enrollment Size,Total Schools,Total Staff (FTE),Percent in Poverty,Poverty Status,Region,District Type
ABC Unified School District,2020,https://www.abcusd.us/,"16700 Norwalk Blvd Cerritos, CA 90703",16700 Norwalk Blvd,,Cerritos,CA,90703,33.88031,-118.07257,CA,1,Suburb - Large (21),B - Suburban,601620,"20,465","D - 10,000 - 24,999",30,"1,772.16",13.35%,B - 10 to 19.99 percent,D - West,Regular LEA
Abernathy Independent School District,2017,https://www.abernathyisd.com/,"505 7th Street Abernathy, TX 79311",505 7th Street,,Abernathy,TX,79311,33.83018,-101.84443,TX,1,Town - Fringe (31),C - Town,4807410,780,"A - Less than 1,000",4,120.93,23.36%,C - 20 to 29.99 percent,D - West,Regular LEA
Abingdon-Avon CUSD #276,2016,http://www.d276.net/,"401 West Latimer Street Abingdon, IL 61410",401 West Latimer Street,,Abingdon,IL,61410,40.80573,-90.40292,IL,1,Town - Remote (33),C - Town,1701413,985,"A - Less than 1,000",4,129.1,23.54%,C - 20 to 29.99 percent,C - Central,Regular LEA
Adams 12 Five Star Schools,2019,https://www.adams12.org/,"1500 E 128th Avenue Thornton, CO 80241",1500 E 128th Avenue,,Thornton,CO,80241,39.92571,-104.96654,CO,1,Suburb - Large (21),B - Suburban,806900,"38,818","E - 25,000 - 99,999",53,"4,217.65",15.37%,B - 10 to 19.99 percent,D - West,Regular LEA
Addison School District 4,"2018, 2019",https://www.asd4.org/,"222 N JF Kennedy Dr Addison, IL 60101",222 N JF Kennedy Dr,,Addison,IL,60101,41.93311,-87.99681,IL,2,Suburb - Large (21),B - Suburban,1703150,"4,262","C - 2,500 - 9,999",9,589,14.85%,B - 10 to 19.99 percent,C - Central,Regular LEA
Adelanto Elementary School District,2020,https://www.aesd.net/,"11824 Air Expressway Adelanto, CA 92301",11824 Air Expressway,,Adelanto,CA,92301,34.57215,-117.40597,CA,1,Suburb - Large (21),B - Suburban,601710,"8,234","C - 2,500 - 9,999",15,708.89,29.39%,C - 20 to 29.99 percent,D - West,Regular LEA
Aiken County Public School District,2020,https://www.acpsd.net/,"1000 Brookhaven Drive Aiken, SC 29803",1000 Brookhaven Drive,,Aiken,SC,29803,33.50185,-81.70992,SC,1,Suburb - Large (21),B - Suburban,4500720,"24,135","D - 10,000 - 24,999",43,"2,578.93",21.76%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Alamance-Burlington School System,2020,https://www.abss.k12.nc.us/,"1712 Vaughn Road Burlington, NC 27217",1712 Vaughn Road,,Burlington,NC,27217,36.10132,-79.40871,NC,1,Rural - Fringe (41),D - Rural,3700030,"23,076","D - 10,000 - 24,999",36,"2,748.62",17.86%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Alba-Golden Independent School District,2017,http://www.agisd.com/,"1373 County Road 2377 Alba, TX 75410",1373 County Road 2377,,Alba,TX,75410,32.75877,-95.58682,TX,1,Rural - Distant (42),D - Rural,4807650,881,"A - Less than 1,000",3,124.96,20.43%,C - 20 to 29.99 percent,D - West,Regular LEA
Albemarle County Public Schools,2018,https://www.k12albemarle.org/Pages/default.aspx,"401 McIntire Road Charlottesville, VA 22902",401 McIntire Road,,Charlottesville,VA,22902,38.03561,-78.48216,VA,1,Rural - Fringe (41),D - Rural,5100090,"13,767","D - 10,000 - 24,999",26,"2,355.25",8.71%,A - Less than 10 percent,B - Southeast,Regular LEA
Albuquerque Public Schools,2019,https://www.aps.edu/," 6400 Uptown Blvd. NE Albuquerque, NM 87110", 6400 Uptown Blvd. NE,,Albuquerque,NM,87110,35.10279,-106.57258,NM,1,City - Large (11),A - City,3500060,"90,651","E - 25,000 - 99,999",168,"10,052.78",16.90%,B - 10 to 19.99 percent,D - West,Regular LEA
Alburnett Community School District,2020,https://alburnettcsd.org/,"131 Roosevelt St Alburnett , IA 52202",131 Roosevelt St,,Alburnett ,IA,52202,42.15015,-91.61979,IA,1,Rural - Fringe (41),D - Rural,1903300,711,"A - Less than 1,000",3,91.76,3.14%,A - Less than 10 percent,C - Central,Regular LEA
Alexander Public Schools,2018,https://www.alexanderelementary.org/,"100 High Street Eastport, ME 04631",100 High Street,,Eastport,ME,4631,44.90837,-66.99056,ME,1,Rural - Distant (42),D - Rural,2302280,52,"A - Less than 1,000",1,9.9,17.54%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Alice Independent School District,2020,https://www.aliceisd.net/,"2 Coyote Trail Alice, TX 78332",2 Coyote Trail,,Alice,TX,78332,27.75669,-98.05164,TX,1,Town - Distant (32),C - Town,4807800,"4,940","C - 2,500 - 9,999",9,717.53,33.18%,D - 30 percent or more,D - West,Regular LEA
Alief Independent School District,2017,https://www.aliefisd.net/,"4250 Cook Road Houston, TX 77072",4250 Cook Road,,Houston,TX,77072,29.71146,-95.59648,TX,1,City - Large (11),A - City,4807830,"47,265","E - 25,000 - 99,999",46,"6,390.84",31.61%,D - 30 percent or more,D - West,Regular LEA
Allamakee Community School District,2020,https://allamakee.k12.ia.us/,"1059 3rd Ave NW Waukon, IA 52172",1059 3rd Ave NW,,Waukon,IA,52172,43.27204,-91.49057,IA,1,Town - Distant (32),C - Town,1903390,"1,149","B - 1,000 - 2,499",4,164.28,15.98%,B - 10 to 19.99 percent,C - Central,Regular LEA
